City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
223,Mandalgovi,MN,2022-02-11 02:29:49,45.7625,106.2708,-1.93,67,100,13.4
224,Cherskiy,RU,2022-02-11 02:29:49,68.75,161.3,-30.57,97,100,5.88
225,Port Elizabeth,ZA,2022-02-11 02:28:43,-33.918,25.5701,61.09,82,0,4.61
226,Talant,FR,2022-02-11 02:30:49,47.3369,5.0089,44.42,87,100,17.27
227,Kalmunai,LK,2022-02-11 02:30:50,7.4167,81.8167,79.52,77,94,4.27
228,Dudinka,RU,2022-02-11 02:30:50,69.4058,86.1778,-0.38,86,9,19.77
229,Waddan,LY,2022-02-11 02:30:50,29.1614,16.139,47.39,76,3,6.35
230,Carnarvon,AU,2022-02-11 02:28:32,-24.8667,113.6333,93.27,43,19,10.36
231,Katsuura,JP,2022-02-11 02:28:36,35.1333,140.3,49.19,70,99,19.55
232,Cedral,MX,2022-02-11 02:30:51,23.8,-100.7333,56.34,51,61,9.24
233,Auki,SB,2022-02-11 02:30:52,-8.7676,160.7034,80.94,83,93,8.55
234,Sembe,CG,2022-02-11 02:30:52,1.6481,14.5806,69.26,44,96,1.3
235,Lloro,CO,2022-02-11 02:30:52,5.4961,-76.5495,78.75,97,100,2.48
236,Castro,BR,2022-02-11 02:30:53,-24.7911,-50.0119,58.98,97,2,5.5
237,Ajra,IN,2022-02-11 02:30:53,16.1167,74.2,65.41,51,13,8.63
238,Ortakoy,TR,2022-02-11 02:30:53,38.7373,34.0387,21.45,93,7,1.81
239,Aguas Vermelhas,BR,2022-02-11 02:30:54,-15.7472,-41.46,65.48,95,100,3.31
240,Graaff-Reinet,ZA,2022-02-11 02:30:54,-32.2522,24.5308,60.93,89,60,1.9
241,Fortuna,US,2022-02-11 02:30:54,40.5982,-124.1573,62.1,73,0,0.0
242,Millington,US,2022-02-11 02:30:15,35.3415,-89.8973,50.5,53,0,0.0
243,Coihaique,CL,2022-02-11 02:30:47,-45.5752,-72.0662,49.95,46,0,8.05
244,Bardiyah,LY,2022-02-11 02:30:55,31.7561,25.0865,52.02,72,13,9.48
245,Sur,OM,2022-02-11 02:28:22,22.5667,59.5289,66.36,58,0,4.88
246,Samarinda,ID,2022-02-11 02:30:55,-0.5,117.15,74.61,97,100,1.3
247,Ponta Do Sol,PT,2022-02-11 02:30:56,32.6667,-17.1,69.71,59,100,5.35
