City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
249,Longyearbyen,SJ,78.2186,15.6401,44.44,81,75,2.3,broken clouds
250,San Roque,ES,36.2107,-5.3842,65.23,82,0,5.75,clear sky
251,Outjo,NA,-20.1167,16.15,50.09,50,82,11.88,broken clouds
252,Nome,US,64.5011,-165.4064,70.16,32,0,13.8,clear sky
253,Hirara,JP,24.8,125.2833,86.27,79,75,18.41,broken clouds
254,Sorong,ID,-0.8833,131.25,82.72,71,11,3.8,few clouds
255,Sinnamary,GF,5.3833,-52.95,76.28,89,100,13.35,overcast clouds
256,Port Lincoln,AU,-34.7333,135.8667,56.98,61,93,18.9,overcast clouds
257,Cortes,ES,41.9395,-1.4396,66.25,80,68,8.46,broken clouds
258,Portobelo,PA,9.55,-79.65,80.73,83,99,3.58,overcast clouds
259,Sorland,NO,67.667,12.6934,44.46,68,100,18.77,overcast clouds
260,Saint-Nazaire,FR,47.2833,-2.2,57.18,84,75,4.61,broken clouds
261,Bombay,IN,19.0144,72.8479,89.49,66,40,6.91,haze
262,Chuy,UY,-33.6971,-53.4616,54.86,95,100,4.32,overcast clouds
263,Dawei,MM,14.0833,98.2,82.62,80,100,4.09,heavy intensity rain
264,Ziyang,CN,29.2497,117.8547,85.95,60,80,1.54,broken clouds
265,Sola,VU,-13.8833,167.55,84.87,74,75,6.91,broken clouds
266,Myaundzha,RU,63.0494,147.1858,58.55,62,87,10.47,light rain
267,Labuan,MY,5.2767,115.2417,84.56,79,20,2.3,few clouds
268,Woodward,US,36.4337,-99.3904,79.83,83,0,8.05,clear sky
269,Lishu,CN,43.3047,124.3278,64.76,71,100,4.56,overcast clouds
270,Mananara,MG,-16.1667,49.7667,65.77,91,23,5.59,few clouds
271,Fort-Shevchenko,KZ,44.5086,50.263,73.85,50,81,3.53,broken clouds
272,Kulu,TR,39.0951,33.0799,60.82,79,71,6.73,broken clouds
273,Mansehra,PK,34.3333,73.2,88.97,14,2,2.04,clear sky
274,Iralaya,HN,15.0,-83.2333,80.8,82,100,7.4,overcast clouds
275,Grootfontein,NA,-19.5667,18.1167,36.97,87,67,1.14,broken clouds
276,Sibolga,ID,1.7427,98.7792,85.32,60,100,1.88,overcast clouds
277,Medea,DZ,36.2642,2.7539,69.21,43,63,5.39,broken clouds
278,Amazar,RU,53.858,120.875,80.1,27,69,0.89,broken clouds
279,Svetlyy,RU,54.675,20.1347,52.97,92,100,8.01,overcast clouds
280,Morros,BR,-9.4467,-46.3003,71.1,65,0,6.58,clear sky
281,Constitucion,CL,-35.3333,-72.4167,52.02,86,6,6.38,clear sky
282,Thinadhoo,MV,0.5333,72.9333,82.8,71,100,5.5,overcast clouds
283,Henties Bay,NA,-22.116,14.2845,73.17,31,85,20.58,overcast clouds
284,Tuktoyaktuk,CA,69.4541,-133.0374,32.52,75,36,9.28,scattered clouds
285,Chitipa,MW,-9.7024,33.2697,54.39,97,22,3.31,few clouds
286,Sechura,PE,-5.5569,-80.8222,65.52,84,92,11.83,overcast clouds
287,Banda Aceh,ID,5.5577,95.3222,85.48,65,76,5.5,broken clouds
288,Srandakan,ID,-7.9386,110.2506,85.08,67,54,4.76,broken clouds
289,Okhotsk,RU,59.3833,143.3,51.73,70,16,8.61,few clouds
290,Phalaborwa,ZA,-23.943,31.1411,61.16,73,51,11.59,broken clouds
291,Ardakan,IR,32.31,54.0175,82.29,13,0,2.91,clear sky
292,Atbasar,KZ,51.8,68.3333,58.28,54,100,14.72,overcast clouds
293,Kavieng,PG,-2.5744,150.7967,84.52,67,15,3.98,few clouds
294,Lagoa,PT,39.05,-27.9833,63.91,93,67,16.75,broken clouds
295,Saint-Georges,GD,12.0564,-61.7485,80.28,83,75,14.97,broken clouds
296,Sciacca,IT,37.5082,13.0881,70.99,69,28,8.46,scattered clouds
297,Ardee,IE,53.8597,-6.5406,52.83,81,100,6.4,overcast clouds
298,Saint-Louis,SN,16.3333,-15.0,83.84,42,3,13.4,clear sky
299,Belaya Gora,RU,68.5333,146.4167,61.83,26,0,10.47,clear sky
300,Kyaikkami,MM,16.08,97.5675,80.28,84,100,10.71,overcast clouds
301,Kulhudhuffushi,MV,6.6221,73.07,81.82,78,100,13.69,overcast clouds
302,Pocatello,US,42.8713,-112.4455,63.18,66,20,8.99,few clouds
303,Sitangkai,PH,4.6628,119.3928,83.17,68,94,2.84,overcast clouds
304,Skibbereen,IE,51.55,-9.2667,54.1,95,100,6.49,overcast clouds
305,Cabo San Lucas,MX,22.8909,-109.9124,85.3,68,0,14.05,clear sky
306,Praia Da Vitoria,PT,38.7333,-27.0667,64.76,94,20,8.86,few clouds
307,Fukue,JP,32.6881,128.8419,71.96,78,75,12.66,broken clouds
308,Dhidhdhoo,MV,6.8833,73.1,82.0,78,95,13.89,overcast clouds
309,Brae,GB,60.3964,-1.353,48.65,88,49,2.53,scattered clouds
310,Beidao,CN,34.5686,105.8933,81.97,30,85,2.98,overcast clouds
311,Cidreira,BR,-30.1811,-50.2056,62.55,97,100,7.7,light rain
312,Kaeo,NZ,-35.1,173.7833,68.32,70,5,1.34,clear sky
